Score,Text
5,"It was as good, if not better, than I was told!  Great taste!  I will puchase it again."
5,"These things are great, I love them. I have not found a cheese snack in the US that compares."
5,"I use these at work, for the too many occasions when I do not have time for a real lunch."
5,"Great product - I wish you'd sell it in single bags!<br />Also, your review process is very clumsy!"
5,I have found that shopping Amazon's frustration free packaging for k-cups is the best deal!
5,I love this tea. It is delicious. It came in a timely manner and I was very pleased.
5,This is a great Dental Chew that my dog loves so much and it is very healthy for him.
5,All of the Happy Baby cereals are great and my grandson loves them!  Organic and good for babies!
5,My husband loves to keep some in his truck for a snack.  We are set up to get some once a quarter.
5,My poms love these! Hard to find in stores - glad to find them online for about the same price.
5,"Not only is this tea beautiful as it brews, it is also delicious and refreshing."
