original,augmented_1,augmented_2,augmented_3,augmented_4
"jurys nice hotel husband traveled boston july 2007 stayed jurys hotel, liked, staff friendly helpful, room nicely decorated clean, bed comfortable, definitely stay come boston,  "," jurys nice hotel '' husband traveled to boston july 2007 stayed jurys hotel, liked, staff friendly helpful, room nicely decorated clean, bed comfortable, definitely stay come boston,  jurys nice hotel ''",jury london is lovely nice the owners very helpful we can move in next quarter and can expect excellent breakfast will stay for the weekend,"jurys nice hotels room nice decor, beds comfy, good food choices in the area of chicago and boston","jurys nice hotel wife traveled boston july 2007 stayed jurys hotel. liked, staff friendly helpful. room nicely decorated clean. bed comfortable. definitely stay come boston,"
"small clean beautiful days central location great, said french rude not true, hotel staff fantastic, rooms small spotless worked, great stay, thing feet tall beds not size,  ","cool central location, great staff",the hotel prices may seem quite high especially for those who are into cheap hotels but overall we were very impressed with our stay,bedroom small cool big day clean nice hotel service staff great location modern clean big bed extra and in hotel for two,small clean big dogs near the lake it could be more larger at 900 dollars but staff is friendly and has excellent food and large rooms good size and price
"great service family 5 year old twins, great stay, room smallish expected san francisco staff outstanding, decor lovely location slightly noisy,  ","family service, room was small and as expected , friendly staff, decent decor excellent view of san francisco city , near metro core","cool, friendly reception staff and very comfortable rooms, the bathroom sink was an issue due to dust in the bathroom, and though their is free wi-fi and flat screens that get a slight disruption between the lobby and corridor , our room was still much quieter than we could recall.","ook family 5 star hotel, bathroom was broken while welch-ish despite good value rooms but was frank and very nice , staff great and big rooms where great ed room clean and nicely decorated.","great stay family 5 year old twins, great service, room smallish expect san francisco staff outstanding, decor lovely location slightly noisy,"
"poor food no personal service room lovely available chairs crowded time, food poor, rooms party money taken complaint got no feedback,  ",I told them it was not very well and the place wasn't appealing to my taste or food preference.,service lacking good quality . food is very bad to mention. the room also looks like it could be considered dirty.,price is good restaurant sysco restaurant of good quality. The restaurant food is nice with no complaints. It has its special table that serves 2 of me so the guests can sit,"rude staff service poor food poor food lovely chairs crowded time , people say their complaint about bad hotel food only heard very little else complain with people that like it when you can change hotel where have bad food"
"simple room ok location location ok. polk street n't far away loads places dinner, walked way fisherman wharf, parking space parking free pretty cool.the room bit average, bathroom nice clean room really simple, word neighbours said room,  ",simple room ok location ok plok road was near loads of spots including restaurants and evening events so gotta do the boat up there 'cause you can easily find the fishing street,room ok roomy clean but bad light over bed.,no smoke room with en suite bathroom which had full view over city can not been cleaned properly without special request,nice location free parking room was better in polk street.
"pre-katrina form** positives great room courteous desk staff.negatives lobby common areas filthy, people not travelers standing sitting times day, felt like hotel catering fema,  ","bad , but never worse to stay in than during the hurricanes for the most part that this hotel has been cleaned and rebuilt and better than just assocated to cope with : 1) the room itself was full and comfortable. it just wasn't as functional/clean as hotels do nowadays even close to being fully self contained; 2) restroom & laundry area was extremely small with furniture and one huge cigarette butt. 3) corridor/extra beds were poorly fitted out; not comfy- some of the room had carpeting though! There is a very wide hallway","*inside* I'd give this property a higher rating for being in the historic port district and since it is built as many original shells could survive such as sundance bridge and cannon falls it's less of a tourist attraction anymore, unless one is inclined to overlook the fact that their own private estate still has rooms","Located on the opposite side of town from st. augustine airport and 2 miles away from fresno. Parking is free on day you check out! Cons : - Bathroom was quite small, smelly and dirty. There was food inside though! --- Very reasonable food serving capacity.",what the hell did that say about hospitality services ? yes employees got all this way for their compensation ! u have no one !
"not expect novotel particular novotel not novotel usual standard, ethos hotel clearly needs requirements hotel meeting needs customer definitely came second.the hotel room pleasant bathroom cramped potentially hazardous,  ","not expect novotel nor ethos norm vv in nortman will, as hotel is normally known and needs requirements for customer gatherings and the staff comes second with only minor.hotel room of welcome with courteous helpful staff restaurant of food not so good food, and maybe could help for future","not expect novotel particular oth than usual standard and this definitely met ethos needs a conference is too big, but more to the guest needs came third then on experience with his colleague and some of my cousins about efocals has not gotten much done",lack of meeting room suitable staff acceptable breakfast coffee adequate,quality hotel would expect good customer service and friendly management with budget and in particular high end quality and location far
"great hotel pricey loved hotel pricey rooms fantastic clean modern best hotel bed, roof pool lovely great view breakfast good, location fantastic just road gothic staff friendly helpful, love stay special occasion expensive trip spain,  ",hotel room gorgeous clean modern modern best service bed room big flat roof pool lovely staff friendly helpful,great budget hotels lovely nice luxury hotel pricey loved hotel fancy boutique clean modern best staff friendly helpful no i didnt come back but was from spain very nice expensive prices delicious hotel rooftop pool lovely place superb,"good hotel rooms great price average prices, room in room nice view roof pool lovely breakfast service good reception friendly helpful room location a few steps to mese in the city for special visit affordable tour","pricey loved hotels prices for room nice prices expensive luxury hotels staff always really helpful bar good california mountains nice pool beautiful breakfast good, roof very cool outdoor dining place near ninoh beach nice views outside the hotel nice inconsistent music nice location just road gothic hotel friendly helpful, special occasion lovely happy stay pricey hotel wonderful staff friendly great location gothic town enjoy fantastic amazing place"
"need improvement stayed 3 nights x'mas, basic small hotel, lighting not bright room, heater not warm woke mid night, complement location just steps away plaza mayor 5 minutes walking sol metro station main street,  ","need improvement stayed 3 nights x'mas, basic small hotel, lighting not bright room, heater not warm woke mid night, complement location just steps away plaza mayor 5 minutes walking sol metro station main street,","lackey very loud noises, infrequent or poor liight, only issue with room but overall quite good value","require improvement stayed for 5 nights Xmas , basic small hotel , lighting not bright Room wasn't hot. heating was not used except as usual and took quite a long time to warm up with in the winter i guess",provide high ratings of hotels and rooms would recommend this hotel
"wonderful hotel wonderful stay artus, rooms trendy comfortable, wonderful beds excellent staff, breakfast n't amazing sufficed, best hotel location, beautiful quaint area paris, convenient metro tons places shop eat right hotel, hotel trip,  ","wonderful hotel wonderful stay enticing, inconspicuous non exclusive hotel stay cheap city place the heart of Paris very close train metro restaurants shops shopping eat places great hotels travel.we did have an unusual breakfast we decided to lie outside but you are not called by such word. our name is compelme","fabulous hotel fabulous stay, rooms trendy comfortable, amazing beds fantastic staff, breakfast n't awesome sufficed, absolutely perfect hotel location best hotel ever ..., cute tourist attraction flimie ..., subway to the city center eat at best hotels ... yep perfect hotel ...","fabulous hotel deluxe hotel in france nice place for holidays, comfortable nice rooms of luxury class. Staff is nice and staffing is excellent",fantastic hotel stay for best hotel
"comfortable good hotel staff welcoming friendly room warm clean quiet comfortable, good central location right pantheon, negative no tea/coffee making facilities room travel kettle recommend good place stay,  ","this hotel feels perfect in terms of decor and facilities and atmosphere is very good, located by a pretty central point, on the first flight to panama airport, and has good shower facilities, too; i would have found toooo many issues for ...",good central location near nicen restaurant welcome nice comfortable staff friendly very clean room heat free hot weather like other hotel they provide tea/coffee making facilities room travel kettle ideal place for person who need a large room to spend most of their stay,"negative good helpful efficient room clean spacious no centrally located, accept to show a travel utensil or do not tell staff the specific type of products we provide","guest rating for this hotel is 5 of 5 , positive atmosphere welcoming friendly friendly rooms cold clean room coffee/tea maker positive no parking available ok central location"
"supereior amenities excellent service smiles difficult disappointed beautifully appointed rooms bath facilities, hotel newly refurbished feel look plus star hotel,  ","superior amenities excellent service smiles large and clean rooms bath facilities hotels, newly refurbished feel look plus star hotel","supereior amenities excellent services smiles quite disappointed beautifully appointed room bath facilities, new hotel newly refurbished look plus star hotel,","supereir amenities excellent service smiles difficult disappointed beautifully appointed rooms bath facilities, hotel newly refurbished feel look plus star hotel,","super convenience, wonderful service and beautiful rooms feel you more at home while staying in our very nicely refurbished 4 star hotel for the duration of a city break"
"1 day short stay stayed hotel convenience coach took kuala lumpur stopped right hotel lobby, location hotel near orchard road famous shopping area singapore accessible taxi not foot mrt, room condition bit old, n't complain spent night,  ","1 day long stay stayed in this bussiness hotel, food very friendly and nice view, staff was very nice, located in bussy area near all major cnsals (don't bother to get tickets that way) not convenient for business & flight schedule","1 day short stay stayed hotel convenience coach took kuala lumpur stopped right hotel lobby, location hotel near orchard road famous shopping area singapore accessible taxi not foot mrt, room condition bit old, n't complain spent night,","1 day to the last second i stayed near orchard road famous Shopping area in my hotel, even though it could been nicest with some upgrades and modernity its very near to subway",1 day for the conference in pengai lalu angietak my chinese friend who have some knowledge about it told me the resort is ok...
"just hotel pros great location waikiki beach+ reasonable pricecons old/outdated hotel- small pool- concierge outsourced not knowledgeable area,  ","just one or two guest rooms (they cost about $125/day) so there for business/outing, if I am leaving here on vacation alone and have no room in my house of 1-5 days to stop at cafe's/pubs/service stations etc I will definitely stay at their hotel when out here","right in waikiki beach, and nice, with no crowds at all, but the service I got on line was also decent, too. CONSUMER SERVICE PROFESSIONAL. But the parking lot was never full. It's still pretty reasonable for the location of the place to be given",waikiki beach hotel reviews | good hotels in kaunas by jorge beningsdorff & meier,"only is this review of a just hotel in waikiki. the hotel has great location and reasonable prices, it's quite outdated and small, its staff are not very friendly or knowledgeable"
"stay jianguo garden hotel beijing clean comfortable room, great breakfast including western chinese food, good location walking distance golden street tiannamen, nice stay,  ","stay hotel jianguo garden beijing clean comfortable room good location walking distance golden street tiannamen, nice stay, convenient","jianguo garden hotel beijing clean comfortable room, great breakfast including western chinese food, good location walking distance golden street tiannamen, nice stay,","stay by the river in jianguo garden hotel beijing it is not expensive and quiet. the breakfast here was very good and not cheap, they have western chinese food, some that we could taste and had little to drink or eat. excellent, this place is better for people who like walking around qingduomen city as far as central business district a few exit doors down. no reason not to stay at this places-you may need to walk one or two ways first","great central location near Golden Gate, excellent quality, excellent service to travelers when travelling in chinese, good hotel room"
"best hotel stayed dominican republic, andrÄs chocolate domingo rendezvous bar upper lobby, visit guys,  ","the top hotel in dominican republic by mile, chocolate stardom & rendezvous, prado cocktail, visit guys, summit hotel","visiting the hotel ate in guadeloupe for business, the best hotels of dominican republic, bar upper lobby npjd - ttn, come see pics of our guys here vs us","what's the best hotel in havaica, dominican republic?, andros chocolate domingo rendezvous bar upper lobby, visit coolest resort abound",i liked best bar
"bargain hotel city centre ok short stay real bargain eur 65 night, hotel aged shady bit rooms small, perfect location close centraal station nightlife,  ","short stay city centre accommodation good, cheap price eur 85 night in eras hotel, large room and clean","short stay in the city centre, and have to go to City center which is perfect because one of the best hotels with cheapest rooms in town","city centre hotels, hotel for couples, cheap to medium price rooms, walking distance centruaal station district night life, bargain and cheap, single person room, low priced hotel",city centre cheap hotel rooms one star aged budget near Centraal station night life
"stay nice hotel, concierge outstanding, helpful, easy shuttle service nearby food/light shopping/train station, did n't eat ca n't comment foods, heated toliet seats need catch world, picks drops airport reccommend too.would stay,  ","my boyfriend's hotel stay was enjoyable ; nice hotel, great concierge, helpful check-in staff all around .a good place for out and back shopping excursions .the staff could ask for any attention ... the rooms are in good shape , loos are very comfortable and commodious too.there 's no better place downtown.","stay nice hotel, service and amenities were great is convenient and friendly staff always available when asked to be at any hotel","stay lovely hotel, concierge awesome , helpful, easy shuttle service to train and city center, didn n't eat ca n't comment foods, heated toliet seats need catch world , picks drops airport reccommend.would stay,","stay nice hotel, friendly reception staff all are good with a smile on there face we use the location by train and from hotel tnt."
"no better place place awsome, location perfect staff good, busy honolulu city, want quiet islands, paid 150 gladly paid 200 view, deal online,  ","no better place placed outside my appartment with easy parking access from motel 4 while visiting island with only limited availability at $$ prices, staff is knowledgeable very customer based.",hi-visibility,no better place to stay while on the island?,"no better place site paradise hotel staff clean the location great, no wait ap is 5 min walk out the building its an all rooms hotel view or go by car . nice pools gym bar even masagka and volleyball ."
"average certainly close kingsford smith airport offering great view airport quiet rooms, service especially restaurant left lot desired,  ","average of this great kingsford smith airport room, offer a large bathroom, quiet quiet rooms and clean and pleasant staff",close to kingsford smith terminal 2 airport - is a reasonable prices and hotel with great views over at the airport,"average quality rooms great location close proximity to eglantine airport not so far from airport and convenient public transportation nearby city, however, staff -especially restaurant staff -had become agitated during visit, no lifts very dislocating and with less capacity than many hotels located the city centre","average close to a kingsford ford airport offering great view. quiet rooms, service and facilities were great"
"lovely loud alba convenient train station sights, hotel lovely room, glass lift fun breakfast buffet plentiful, no help staff luggage night staff spoke no english worst raucous laughter shouting 2 night tavern right street, really ruined things,  ",it is very busy inside the small hotel,"charming quiet alba convenient train station sights, hotel lovely room, Glass lift fun breakfast buffet plentiful, no help staff luggage night staff spoke no english worst raucous laughter shouting 2 night tavern right street, really ruined things,","nice quiet, close and with train connections , also with the sights alba a beautiful hotel , with perfect bathroom , the staff was always there when you needed most and were always smiling despite this sometimes being dark and noisy , what happened to that they seemed ok","great location to major sights , pleasant staff and very good value price"
"wasent bad 2 friends stayed 3 days lol got admite far anywere almere needed everyday kids playing football sv almere hotel ok needed somewere just sleep yes got sleep comments cant say bad deffo stay,  ","wasent bad 2 friends stayed 3 days on sun in milnila anr mallorca, somewere br>took their money from tger if they could go home (although if s y gi= and they had to go away...",wasent bad 2 friends stayed 3 days got admite far to needed almere sv akademi hotel,was unable to visit the site due to lack of space as well as time constraints...my 2 friends kept the place free though one girl ate a cake with her own food she tumed the hall and the boys were retuning.......the place was free but a little dirty,"had a terrible time here with 2 friends too big to share one space, very hot and i lost track of our room"
"stay advantage fact hotel 5 mins bus journey airport.we missed ongoing flight night klm.free buffet dog stuck nose room small basic.luckily 8 hours, n't near unless,  ","live in the apartment as that only has a 5 minute bus ride for this hotel-no good customer experience.need to wait 8 hours to get in taxi to airport, parking is horrid room is small if you want a true holiday","4 star flat-table venue and complimentary restaurant, convenient location with subway 3 steps away. Rooms were standard dingy. Carpet and hard floor not to speak positive of. Not many nuances.","the buffet is limited to khang.it seems like most buffet places are overcrowded.staying for 10 nights, never in expectation what might happen.schedule flights for airport day after and there are flights leaving in january 3th.pairwise stay in time as they were late by many minutes.they dont think you will be happy staying here.room could do with little work",have to fight 3 hour long buses before moving to airasia.hotel and free breakfast.staff had no trouble keeping me comfy.even with a dogs.bad service.compliment is from owner!
"jury staff really friendly helpful room tiny dated.bathroom basic no room store cases etc.breakfast pretty basic no fresh milk coffees no butter toaster welcome addition fresh fruit stairs interesting touch n't like negotiate wild night,  ",staff really friendly helpful room very dated kitchen not fresh and enough things room store rooms etc clean shower bath bathtub room size limited but good location room price was fine,"jury staff really friendly helpful room tiny dated.bathroom basic non stocked ... no fresh milk coffees no butter toaster welcome addition fresh fruit stairs interesting touch n't like negotiate wild night,","the reception staff were lovely, as was the hotel, the rooms mate, free parking and good food on a budget that wasnt too large in the range of standards.very helpful with suggestions and more accommodating than those of some of the more expensive hotels .",the staff was okay and not bad but its just stale but when you get somewhere else it becomes tired
"bed hotel located ideal place junction arab street close proximity shopping malls mrt station, room clean basic ideal hotel bed n breakfast breakfast not good, good pool, 3 rating,  ","bar, room clean breakfasts great place just enough area to walk downtown mrt station shopping mall but not too busy for business","nicer looking than others rooms, but price average is in place of location, room small and not good, some facilities dirty","bed hotel located ideal place junction arab street close proximity shopping malls mrt station, rooms clean basic ideal hotel bed n breakfast breakfast not good, good pool, 3 rating","b edy hotel situated within close proximity to the underground station , close shopping arcades mrt station , with free internet access welcome you to discover our boutique hotels full range of all services including complimentary breakfasts , as well as ."
"not impressive clean efficient stayed marriott waikiki night not greatly impressed quality room did hotel clean staff efficient, price hotel west waikiki walking road beach convenient,  ","not impressed marriott hotel waikiki night clean staff efficient price hotel west waikiki walking road beach convenient,",well decent marriott hotel in wai-tikkei which my family were traveling to the new york international airport,not impressive clean and efficient stayed in a standard double room in japans hotel west for one night at this time we have not thoroughly enjoyed the trip our friend suggested we can talk much more good opinions on things to do than you mention here just like some resorts that have 0 stars right,not impressive clean efficient stayed marriott waikiki night of room are great and efficient staff also customer friendly
"appalling worst hotel stayed, not recommend dog.the major problem staff reception breakfast room, good course customer service not astray rude unhelpful, amsterdam 3 times year come away impression like,  ","customer service rude staff, rooms were dusty ; dog is very noisy and too late even for 3 times staying in hotel , had a horrible experience there .tightness was not sufficient though .staffs just never say thanks and good course was quite high of prices for hotel, but could better stay when i was there","why we should the dog the major problem staff reception breakfast room , good course customer service not astray rude unhelpful, amsterdam 3 times year come away impression like","appalling worst hotel stayed; did not take any photographs room has one problem; breakfast room very dirty no good condition: customer service didn't ask questions in language, so rude to us...","absetrating hell rooms, i am afraid stayed for three hours - I mean, at night and I was scared! how it stay one such long time? how many stars really have i found in here?!"
"nice hotel nice hotel, surprised soft beds, confortable, hotel close tram flower market nice street shopping,  ","hotel nicest, nice hotel, surprised beds , confortable, city center, good cafeteria.,","nice hotel nice hotel, surprised soft beds, confortable, nice hotel close tram flower market nice street shopping,","nice hotel hotel, nice hotel, surprised soft beds, confortable, hotel close to tram flower market","nice hotel, nice hotel, surprises comfy beds, comfortable, restaurant close to tram flower market nice street shopping"
"poor quality great location fabulous location right beach rooms need work, sheets threadbare no hot water water pressure noisy, room clean n't sit bedspread,  ","better location near to shoping, restaurants and bars with no amenities or service except to a good size room with adequate space in the beach bar/dining rooms for 5 persons.","poor quality great location fabulous location right beach rooms need work, sheets threadbare no hot water water pressure noisy, room clean n't sit bedspread,",bad decor really horrible good location on the right beach but little warmth or coziness to rooms. beds are a mess and the only place for extra linen is down the bathroom wall at left.,"good location on the right of river , room well lit to visit attractions with ease , high quality with an extra comfortable king size bed and all modern amenities around."
"not recomend not star hotel thomson 3+ like 2 star lower food bland stomach problems 2 days returning home not lot atmasphere entertainment disapointing cockroaches food sister hotel naibor holiday hell ill 12 days 14 days not able water,  ","2 star hotel with price cheap in city, terrible environment with disapointing food which seemed as if it will kill your good sense, not my hotel but would def. be for every one because there's another cockroach and water, not to mention everything was not open (i didn't try it again...) and how disgusting the water might be during summer, nde i3m vom u7jhi","not friendly and terrible. Not friendly, low, and the owner is very arrogant . Been there.",why people go to germany?,bad room room bad breakfast hallow cold room shower low fridge dirty hall of house t. com for my family member 10 days stay all in all poor hotel service
"friendly convenient location good, single room ok clean walls need redecoration, cheap decent furniture, clean bathroom plenty towels soap shampoo shower gel.breakfast nothing special juices cafe cereal jam bread croissant,  ","Very nice clean room, clean bath & shower towel spluttering on the floor.","small place just with dirty toilet, bad shower, lack of clothes in room, don't stay if you like cleaning and breakfast with only yogurt, jam & juice, no eggs and granola, clean dinning room also need improvements, small hotel with cheap price, only can say one star","friendly and convenient for travelers looking for a cheap accommodation in Rome. The place clean and good and affordable, comfortable to stay. It looks modern but some furniture needs repair and it needs reorganisation.","friendly helpful bar staff, good food, cheap good cleanliness service, no view on building, flat screen, plenty of toiletries, shower gel also you must take your phone"
"best hotel best hotel stayed, food magnificent rooms die pool beautiful right beach holiday highly recommend,  ",best rooms hotel,"in the best hotel you can see stunning beach, beautiful hotels, beautiful pools,","best hotel stayed, food, beautiful pool, sea view, spectacular sunset, I would recommend it for a first timer with great price","best hotel best hotel i stayed ,food, magnificent rooms swim pool beautiful right beach holiday highly recommend,"
"nice clean hotel nice clean hotel ask twin room got twin room breakfast ok good location near victoria stationwill come,  ","cool guest house in hotel near Victoria Station is located just right for tourists, has good breakfast",nice clean hotel nice clean hotel and twin room available for night and breakfast ok very helpful,very good friendly staff hotel breakfast was okay spacious,"nice californian hotel nice bed, really clean, bathroom great food service and friendly staff perfect uk airport location by the station close to the city center and with excellent underground accessibility ...... nice -"
"good property better visited hotel month family member, experience overall nice.rooms facilities quite nice convey good charm.service improved,  ",A large hotel with a great amenities and very friendly staff if visiting with a large group.,"experience overall nice. rooms facilities quite nice convey good charm .service improved , rating high","a little bit more convenient, service improved.","good property, nice rooms, facilities, but this time room service left much to be desired. I doubt the hotel will return"
"location superb, rooms good size appointed staff welcoming helpful, thought excellent value money recommend family friends,  ","location superb, rooms good size appointed staff welcoming helpful thought excellent value money recommend family friends,",wonderful hotel n good prices with excellent and personalised service. room was as mentioned large though could be a little cold because there are multiple doors so it must have been just as warm as the outdoors in winter.,local is nice and budget minded will stay here,"amazingly designed rooms, great for the kids, free Wi-Fi, excellent food including sushi, wonderful staff and good value that you could not ask for"
"fantastic place d'arms fantastic place stay makes easy personal breakfast room desk room, answers questions helpful, minute, room beautiful sheets crisp room clean.thank book into.the history new orleans trip time,  ","fantastic hotel stay with private water front bedroom & bath, install bathroom: granite sink faucet and deep soaking bathtub.Fantastic bed!streaking bath of all the bedrooms with comfy robes","fabulous place with easy parking personal breakfast room lovely sheets crisp room clean the trip guide of us to brooklyn, belgium, iraq and spain perfect , and we enjoyed a dinner in downtown.",Fantastic place for d' Arms,fantastic place this summer.the owner gives away two sheets to his customer. i have been taking advantage.
"bad experience hi just want know hotel reservation no trace email, make mistake credit card request pay room paid, laggage mixed ground floor futur room.i justified thing echange mail receive mistake credit card.can care mention web site.thank,  ",why hotel reservation's still in memory??,my bad experience,Bad experience in one place,I stayed one summer this Hotel called Hibiyun Airport
"not grand renovation years ago property no longer human feel, high prices comparison near high class hotels, staff care famous people, watch restaurants,  ","because of a lack of renovation not many improvements years back to hotel, whereas still befits higher standards than in the market, large hotels, with expensive and inadequate staff . though as high as average price, although expensive near expensive and poor standard hotels , check restaurants around ;","not grand renovation years ago property no longer human feel, high prices comparison near high class hotels, staff care famous people, watch restaurants, upscale apartments near university campus.","not grand renovation years ago property no longer human feel, high prices comparison near high class hotels, staff care famous people, watch restaurants,","Not grand renovation years ago property no longer human feel, high prices near high class hotels"
"lovely hotel dodgy area nice hotel helpful staff clean rooms.was pickpocketed right outside hotel organised gang, police not interested just watch, care rambla approaches ready defend way money,  ","'hotel located on a busy street and only close to the traffic.good food and very helpful staff.i didn't lose any of the money as I couldn't seem to understand the logic behind the theft.bad smell of our hotel room which smelled heavily of unadulterated rotten food.it is small but clean rooms,good staff and modern,very easy parking for out guests.","good hotel nice location clean rooms excellent value , not to many complaints the shower room had little space for the towels but the pillow top utensils had a full spread on them and they spilled the food that we ordered our food out in. the staff were so attentive every single time which was great although we were there an hour and wanted someone to fix the washing machine however the woman doing the washing left this girl to herself and returned up to the lounge...it was very disturbing being in such a loud hotel.","very nice hotel location in outskirts of rome bewitchingly so organised people steal near by hotel to gather funds, the local police just stare and hold his money as if its",beautiful hotel dodgy place nice hotel good hotel staff clean rooms pickpocketed with a few cash as people watch gangs use cameras of muggles everywhere in nice hotel
