original,augmented_1,augmented_2,augmented_3,augmented_4
"jurys nice hotel husband traveled boston july 2007 stayed jurys hotel, liked, staff friendly helpful, room nicely decorated clean, bed comfortable, definitely stay come boston,  ","1. We stayed at the Jury's Hotel in Boston in July 2007; my husband and I liked the friendly, helpful staff, the nicely decorated and clean room, and the comfortable bed. We'd definitely stay there again when we return to Boston.","My husband and I enjoyed a wonderful stay at the Jury's Hotel in Boston during our July 2007 trip.  The staff were friendly and helpful, the room was beautifully decorated and impeccably clean, and the bed was incredibly comfortable. We would definitely return to this hotel on our next visit to Boston.","2. During our July 2007 trip to Boston, my husband and I enjoyed our stay at the Jury's Hotel.  The staff were friendly and helpful, the room was clean and nicely decorated, and the bed was comfortable. We will definitely return.","During our trip to Boston in July 2007, my husband and I thoroughly enjoyed our stay at the Jurys Hotel.  The staff were friendly and helpful, the room was beautifully decorated and impeccably clean, and the bed was incredibly comfortable. We would definitely return to the Jurys Hotel on our next visit to Boston."
"small clean beautiful days central location great, said french rude not true, hotel staff fantastic, rooms small spotless worked, great stay, thing feet tall beds not size,  ","1. Fantastic hotel staff, great stay in a central location; small but spotless rooms.  Beds short, but days were beautiful. French rudeness untrue.","We enjoyed a wonderful stay at this centrally located hotel.  The rooms, while compact, were impeccably clean and well-maintained.  The staff were fantastic, exceeding expectations.  The only minor drawback was the bed size, which was somewhat small.  Contrary to some reviews, we found the staff to be very helpful and pleasant.","2. Small, spotless rooms; great stay in a central location.  Beautiful, clean days. Hotel staff fantastic.  French rudeness unfounded. Beds too short.","Despite some minor inconveniences (like the small room size and unusually short beds), our stay was fantastic. The hotel's central location, cleanliness, and the exceptional staff more than made up for it.  We had several lovely days there, and contrary to one negative review we encountered, we found the staff to be incredibly helpful and friendly."
"great service family 5 year old twins, great stay, room smallish expected san francisco staff outstanding, decor lovely location slightly noisy,  ","1. Outstanding staff, lovely decor, great service for our family (5-year-old twins). Room smallish as expected in San Francisco, great stay, location slightly noisy.",Our family (with five-year-old twins) had a wonderful stay despite the slightly small but expected San Francisco-sized room.  The outstanding staff and lovely decor made up for the minor noise.  Service was excellent.,"2. Great stay with great service!  Our family (5-year-old twins) enjoyed it. Room a bit small (typical San Francisco), but the staff were outstanding and the decor lovely. Location slightly noisy.","Our family (including our five-year-old twins) had a wonderful stay.  While the San Francisco location meant some street noise and the room was on the smaller side (as expected), the outstanding staff and lovely decor made it a truly great experience."
"poor food no personal service room lovely available chairs crowded time, food poor, rooms party money taken complaint got no feedback,  ","1. Poor food, terrible service, lovely room, crowded.","2.  Party room available, chairs crowded, poor food.","3. Money taken, complaint made, no feedback, poor food.","4.  Poor food quality, no personal service, lovely room, overcrowded."
"simple room ok location location ok. polk street n't far away loads places dinner, walked way fisherman wharf, parking space parking free pretty cool.the room bit average, bathroom nice clean room really simple, word neighbours said room,  ","1. Simple room, okay location. Polk Street nearby, many dinner options. Walkable to Fisherman's Wharf, free parking.  Room basic, bathroom nice.","2. Room okay, good location near Polk Street.  Easy walk to Fisherman's Wharf, plenty of places to eat. Free parking. Bathroom clean, room simple.","3. Decent location (near Polk Street), easy walk to Fisherman's Wharf.  Room is basic but clean; bathroom nice. Free parking. Many dinner choices.","4. Good location on Polk Street, close to Fisherman's Wharf and restaurants.  Free parking. Simple room, clean bathroom."
"pre-katrina form** positives great room courteous desk staff.negatives lobby common areas filthy, people not travelers standing sitting times day, felt like hotel catering fema,  ","1. Pre-Katrina, the hotel boasted a great room and courteous desk staff; however, the lobby and common areas were filthy, occupied by non-guests throughout the day, resembling a FEMA shelter.","Before Hurricane Katrina, the hotel boasted a pleasant great room and courteous desk staff. However, the lobby and common areas were consistently unclean, and the presence of non-guests throughout the day created an unsettling atmosphere, resembling a FEMA shelter rather than a hotel.","2. Positive aspects of the pre-Katrina hotel included a great room and polite front desk staff.  Negative aspects:  filthy lobby and common areas, constantly filled with non-guests, giving the impression of a FEMA facility.","Before Hurricane Katrina, the hotel boasted a pleasant great room and courteous desk staff. However, the lobby and common areas were consistently unclean, and the presence of non-guests throughout the day created an atmosphere more reminiscent of a FEMA shelter than a hotel."
"not expect novotel particular novotel not novotel usual standard, ethos hotel clearly needs requirements hotel meeting needs customer definitely came second.the hotel room pleasant bathroom cramped potentially hazardous,  ","1. The Novotel, unlike other Novetols, fell short of expectations; its ethos prioritized profit over customer needs, resulting in a cramped, potentially hazardous bathroom.","Our stay at this Novotel fell significantly short of the brand's usual standards.  The hotel prioritised profit over guest comfort, evident in the cramped and potentially unsafe bathroom, despite the room itself being pleasant.  The overall experience highlighted a clear failure to meet basic customer needs.","2. This Novotel didn't meet the usual Novotel standard.  The hotel prioritised profit over customer satisfaction, evidenced by the pleasant room but cramped, potentially dangerous bathroom.","This Novotel fell short of the usual brand standards.  The hotel prioritized its own needs over guest satisfaction, evidenced by the cramped and potentially unsafe bathroom, despite a pleasant room."
"great hotel pricey loved hotel pricey rooms fantastic clean modern best hotel bed, roof pool lovely great view breakfast good, location fantastic just road gothic staff friendly helpful, love stay special occasion expensive trip spain,  ","1.  Pricey but fantastic hotel; clean, modern rooms, best bed ever.","2.  Lovely roof pool, great view, good breakfast; location perfect.","3.  Friendly, helpful staff; just off the Gothic Quarter.","4.  Expensive, but a special occasion stay in Spain."
"need improvement stayed 3 nights x'mas, basic small hotel, lighting not bright room, heater not warm woke mid night, complement location just steps away plaza mayor 5 minutes walking sol metro station main street,  ","1.  The basic, small hotel needed improvement; poor lighting and weak heating (woke up cold mid-night) marred the 3-night Christmas stay.  Excellent location near Plaza Mayor and Sol metro.","Our Christmas stay at this small, basic hotel was unfortunately hampered by inadequate heating (we woke chilled in the middle of the night) and dim lighting.  However, its excellent location, a mere five-minute walk from both the Plaza Mayor and Sol metro station, was a significant plus.","2.  Three nights at a small, basic hotel over Christmas needed improvement.  Room lighting and heating were inadequate (woke up cold). Location was perfect, steps from Plaza Mayor and a 5-minute walk to the Sol metro.","Our Christmas stay (3 nights) at this small, basic hotel was somewhat disappointing.  While the location was ideal – a stone's throw from the Plaza Mayor and a 5-minute walk from Sol metro station – the room's inadequate lighting and insufficient heating (which cut out during the night) detracted from the experience."
"wonderful hotel wonderful stay artus, rooms trendy comfortable, wonderful beds excellent staff, breakfast n't amazing sufficed, best hotel location, beautiful quaint area paris, convenient metro tons places shop eat right hotel, hotel trip,  ","1. Artus hotel: trendy, comfortable rooms; wonderful beds, excellent staff; best location in a beautiful, quaint Parisian area.","2. Wonderful stay at the Artus; great location near metro, shops, and restaurants; comfortable rooms and excellent staff. Breakfast adequate.","3. The Artus hotel offered a wonderful stay with trendy, comfortable rooms, excellent staff, and a fantastic location in Paris.  Breakfast was sufficient.","4.  Best hotel location in Paris (near metro)! Artus hotel: comfortable rooms, wonderful beds, excellent staff.  Breakfast okay."
"comfortable good hotel staff welcoming friendly room warm clean quiet comfortable, good central location right pantheon, negative no tea/coffee making facilities room travel kettle recommend good place stay,  ","1. Welcoming staff, warm, clean, and quiet room; good, central location near the Pantheon.  No tea/coffee facilities. Travel kettle recommended.","The Pantheon Hotel offers a warm, welcoming, and centrally located experience.  Staff were friendly and helpful, and our clean, quiet room was perfectly comfortable.  While lacking in-room tea/coffee facilities (a travel kettle is recommended), this is a highly recommended hotel for its overall excellence and convenient location.","2. Comfortable hotel with friendly staff, centrally located near the Pantheon.  Room was warm, clean, and quiet.  Lacks in-room tea/coffee.","The Pantheon Hotel offers a warm welcome, clean and quiet rooms, and a fantastic central location.  The friendly staff and comfortable accommodations make it an excellent choice for a stay in Rome, though the absence of in-room tea/coffee facilities (a travel kettle is recommended) is a minor drawback."
"supereior amenities excellent service smiles difficult disappointed beautifully appointed rooms bath facilities, hotel newly refurbished feel look plus star hotel,  ","1. The newly refurbished hotel boasts superior amenities, excellent service with smiles, beautifully appointed rooms and bath facilities, plus a five-star feel and look.",This newly refurbished hotel boasts beautifully appointed rooms with luxurious bath facilities and provides exceptional service with a warm and welcoming atmosphere.  Its superior amenities easily justify its five-star status.,"2. Beautifully appointed rooms and superb bath facilities, excellent service and smiles, plus a superior feel and look: this newly refurbished hotel is a five-star experience.","This newly refurbished hotel boasts beautifully appointed rooms with luxurious bath facilities, providing exceptional service and a truly welcoming atmosphere.  Its superior amenities and five-star feel exceeded my expectations."
"1 day short stay stayed hotel convenience coach took kuala lumpur stopped right hotel lobby, location hotel near orchard road famous shopping area singapore accessible taxi not foot mrt, room condition bit old, n't complain spent night,  ","1. My one-day Kuala Lumpur hotel stay was convenient; the coach stopped at the lobby.  The hotel, near Orchard Road, was accessible by taxi or MRT.  The room was a little old, but fine for a night.","I enjoyed a convenient one-night stay at a hotel near Orchard Road in Singapore.  A coach from Kuala Lumpur dropped me directly at the hotel lobby, making the location ideal for exploring the famous shopping district. While the room showed its age slightly, it was perfectly adequate for an overnight stay and its accessibility by taxi and MRT was a major plus.","2.  A short stay in a Kuala Lumpur hotel proved convenient, with a coach dropping me right at the lobby. Its Orchard Road location offered easy taxi and MRT access.  While the room was dated, it was adequate for one night.","I stayed at a conveniently located hotel in Kuala Lumpur for one night.  A coach dropped me off directly at the lobby.  The hotel's proximity to Orchard Road, Singapore's famed shopping district, was a major plus, although it wasn't within walking distance – taxis and the MRT were readily available. While the room showed its age, it was perfectly adequate for a single overnight stay."
"just hotel pros great location waikiki beach+ reasonable pricecons old/outdated hotel- small pool- concierge outsourced not knowledgeable area,  ","1. Waikiki Beach location, reasonable price; however, hotel is old, pool small, concierge unhelpful.","This Waikiki hotel offers a fantastic location on the beach at a reasonable price. However, its age shows in outdated rooms and a small pool.  The outsourced concierge service lacked local area expertise.","2. Great Waikiki location and price, but outdated rooms, tiny pool, and poorly informed concierge.","Here are a few alternatives, each with a slightly different emphasis:"
"stay jianguo garden hotel beijing clean comfortable room, great breakfast including western chinese food, good location walking distance golden street tiannamen, nice stay,  ","1. Jianguo Garden Hotel Beijing: clean, comfortable room; great breakfast (Western & Chinese); excellent location near Golden Street and Tiananmen.","My stay at the Jianguo Garden Hotel in Beijing was delightful.  The room was clean and comfortable, and the breakfast buffet offered a delicious selection of both Western and Chinese dishes.  Its convenient location, within walking distance of the Golden Street and Tiananmen Square, made exploring the city easy.  I highly recommend it.","2. Enjoyed a pleasant stay at Jianguo Garden Hotel in Beijing. Clean, comfortable room. Delicious breakfast with Western and Chinese options. Walking distance to Golden Street and Tiananmen Square.","Here are a few meaningful alternatives, each with a slightly different emphasis:"
"best hotel stayed dominican republic, andrÄs chocolate domingo rendezvous bar upper lobby, visit guys,  ","1. Best Dominican Republic hotel: Andrés Chocolate Domingo rendezvous bar, upper lobby—visit, guys!","The Andrés Chocolate Domingo Rendezvous bar in the upper lobby of the best hotel I've ever stayed in, in the Dominican Republic, is a must-visit.","2. Guys, visit Andrés Chocolate Domingo rendezvous bar (upper lobby) at the best Dominican Republic hotel I stayed at.","Here are a few meaningful alternatives, each with a slightly different emphasis:"
"bargain hotel city centre ok short stay real bargain eur 65 night, hotel aged shady bit rooms small, perfect location close centraal station nightlife,  ","1. City centre bargain hotel, €65/night (short stay).  Rooms small, hotel aged & shady, but perfect location near Centraal Station & nightlife.","A budget-friendly city center hotel (EUR 65/night) ideal for short stays. While the hotel shows its age and some rooms are small, its excellent location near Centraal Station and the vibrant nightlife makes it a perfect base for exploring the city.","2. €65/night for a short stay in a city centre bargain hotel (near Centraal Station).  It's older & a bit shady, rooms are small, but the location is ideal for nightlife.","A centrally located budget hotel (€65/night) ideal for short stays near Amsterdam Centraal Station and the vibrant nightlife. While the hotel shows its age and some rooms are small, its prime location makes it a worthwhile option for budget-conscious travelers."
"stay nice hotel, concierge outstanding, helpful, easy shuttle service nearby food/light shopping/train station, did n't eat ca n't comment foods, heated toliet seats need catch world, picks drops airport reccommend too.would stay,  ","1. Excellent hotel with outstanding concierge; helpful staff, convenient shuttle, nearby amenities (food, shopping, train station).  Didn't dine, so can't comment on food. Heated toilet seats! Airport transfers recommended. Would stay again.","My stay at the hotel was excellent. The concierge provided outstanding and helpful service, and the nearby shuttle made it easy to access restaurants, shops, and the train station. While I didn't dine at the hotel, I can highly recommend it for its convenient location and airport transfer service.  The heated toilet seats were a luxurious touch. I would definitely stay here again.","2. Nice hotel, superb concierge service. Easy access to food, shops, and the train station via shuttle.  No food experience.  Heated toilet seats are a plus. Airport pickup/drop-off highly recommended.  Would return.","My stay at the hotel was excellent.  The concierge provided outstanding and helpful service, and the convenient shuttle made getting around easy.  The hotel's proximity to restaurants, shops, and the train station was a major plus. While I didn't dine at the hotel, I can highly recommend it for its convenient location and superb airport transfer service.  The heated toilet seats were a welcome touch. I would definitely stay again."
"no better place place awsome, location perfect staff good, busy honolulu city, want quiet islands, paid 150 gladly paid 200 view, deal online,  ","1. Awesome location, perfect staff; Honolulu's busy, but this place is quiet. Gladly paid $200 for the view; $150 online deal.","Despite the bustling Honolulu location, this hotel offered a perfect spot with excellent staff.  While I initially booked online for $150, the stunning view was easily worth the extra $50 I gladly paid.  It wasn't the tranquil island escape I'd hoped for, but the hotel itself was superb.","2.  Perfect location, good staff.  Honolulu's bustling city, but this spot was tranquil.  Worth the $200 view, great online deal at $150.","Despite the bustling Honolulu setting, this hotel offered a surprisingly perfect location and excellent staff.  While I initially booked a room online for $150, the incredible view was worth the extra $50 I gladly paid.  It wasn't the quiet island escape I sought, but it was nonetheless an awesome experience."
"average certainly close kingsford smith airport offering great view airport quiet rooms, service especially restaurant left lot desired,  ","1. Kingsford Smith Airport's proximity offers great views, but the service, especially the restaurant, was disappointing despite quiet rooms.","Kingsford Smith Airport's proximity offers stunning views, but the hotel's service, particularly in the restaurant, fell short of expectations despite the quiet rooms.","2.  Kingsford Smith Airport is conveniently located with nice views, however, the restaurant and overall service fell short.","Kingsford Smith Airport's proximity offers stunning views, though the hotel's service, particularly in the restaurant, fell short of expectations despite the quiet rooms."
"lovely loud alba convenient train station sights, hotel lovely room, glass lift fun breakfast buffet plentiful, no help staff luggage night staff spoke no english worst raucous laughter shouting 2 night tavern right street, really ruined things,  ","1.  The convenient train station and lovely sights were great, but the hotel's unhelpful, English-speaking staff, raucous tavern, and luggage issues ruined our stay.","The hotel's convenient location near Alba's train station and attractive sights was a plus.  The room and breakfast buffet were enjoyable, and the glass lift was a fun touch. However, the lack of English-speaking staff, particularly at night, proved frustrating, especially when dealing with luggage.  The proximity to a noisy tavern significantly impacted sleep quality due to persistent loud noise and boisterous activity throughout the night.","2.  A lovely hotel room and plentiful breakfast buffet were highlights, offset by unhelpful staff, a noisy nearby tavern, and a lack of English spoken at night.","The Alba train station was conveniently located, and the hotel offered a lovely room with a fun glass lift and a plentiful breakfast buffet.  However, the experience was marred by unhelpful staff who offered no assistance with luggage and whose night staff spoke no English.  The proximity of a noisy tavern, with its incessant shouting and laughter, significantly disrupted sleep for two nights."
"wasent bad 2 friends stayed 3 days lol got admite far anywere almere needed everyday kids playing football sv almere hotel ok needed somewere just sleep yes got sleep comments cant say bad deffo stay,  ","1. Two friends stayed three days; hotel was okay, needed somewhere to sleep.  Got admitted far away, Almere. Kids played football nearby.  No complaints.","2. Almere hotel: adequate sleep, kids played football, good location despite needing daily travel.  Two friends, three days.  Would stay again.",3. Stayed three days in Almere with two friends. Hotel met basic needs; good for sleeping. Kids played football nearby; location okay for our needs.,"4. Three-day Almere trip with two friends. Hotel acceptable for sleeping, kids played football nearby. Location convenient despite needing daily travel.  No issues."
"stay advantage fact hotel 5 mins bus journey airport.we missed ongoing flight night klm.free buffet dog stuck nose room small basic.luckily 8 hours, n't near unless,  ","1. The hotel's advantage: 5 minutes by bus to the airport.  We missed our KLM flight last night.  A free buffet; a dog stuck its nose in a small, basic room.",2. Hotel is 5 minutes from the airport by bus – a key advantage.  Missed KLM flight last night. Free buffet. Dog's nose stuck in room. Small & basic.,"3.  Five-minute bus ride to the airport—hotel's main advantage.  Missed our KLM flight last night.  Free buffet. Small, basic room; dog stuck its nose.","4.  Hotel's proximity to the airport (5-minute bus journey) was advantageous.  Missed our KLM flight last night.  Free buffet offered.  Small, basic room; dog problem."
"jury staff really friendly helpful room tiny dated.bathroom basic no room store cases etc.breakfast pretty basic no fresh milk coffees no butter toaster welcome addition fresh fruit stairs interesting touch n't like negotiate wild night,  ","1. Friendly, helpful jury staff; tiny, dated room; basic bathroom; no room amenities. Basic breakfast, no fresh milk/butter. Stairs interesting.","2. The jury staff were friendly and helpful, but the room was tiny and dated with a basic bathroom. Breakfast was basic, lacking fresh milk, coffee, and butter. No room amenities.  Stairs were an interesting feature.","3.  Small, outdated room and basic bathroom. Friendly and helpful jury staff. Breakfast lacked fresh milk, coffee, butter and amenities.  Interesting stairs.","4. Helpful jury staff, but the room was cramped and old-fashioned, bathroom basic. Breakfast minimal; no fresh dairy. Stairs were a unique touch."
"bed hotel located ideal place junction arab street close proximity shopping malls mrt station, room clean basic ideal hotel bed n breakfast breakfast not good, good pool, 3 rating,  ","1. Ideal location near Arab Street, shopping malls, and MRT; clean, basic rooms; good pool; breakfast subpar; 3-star rating.","This hotel, conveniently located near the junction of Arab Street and close to shopping malls and the MRT station, offers clean and basic rooms. While the included breakfast wasn't impressive, the pool was a highlight.  Overall, it's a decent budget-friendly option (3-star rating).","2.  Located at the junction of Arab Street, this hotel offers easy access to shopping and MRT. Clean, basic rooms.  Pool is good, but breakfast is poor. 3-star.","This hotel, conveniently located near the junction of Arab Street and within easy reach of shopping malls and the MRT station, offers clean and basic rooms. While the included breakfast wasn't impressive, the pool was a highlight.  Overall, it's a decent budget-friendly option (rated 3 stars)."
"not impressive clean efficient stayed marriott waikiki night not greatly impressed quality room did hotel clean staff efficient, price hotel west waikiki walking road beach convenient,  ","1. The Marriott Waikiki offered a clean and efficient stay, but the room quality wasn't impressive.","2.  My one night at the Marriott Waikiki was clean and efficiently run, but I wasn't thrilled with the room.","3.  Clean, efficient staff and a convenient West Waikiki location near the beach made the Marriott a good, though not outstanding, choice.","4. Despite its clean facilities and efficient service, the Marriott Waikiki's room quality didn't meet expectations."
"appalling worst hotel stayed, not recommend dog.the major problem staff reception breakfast room, good course customer service not astray rude unhelpful, amsterdam 3 times year come away impression like,  ","1.  Avoid this hotel; the staff, breakfast, and reception were appalling.","2.  The staff were incredibly rude and unhelpful, making this the worst hotel I've stayed in.",3.  I wouldn't recommend this hotel; the poor customer service ruined my trip.,4.  Appalling service and facilities; I visit Amsterdam three times a year and this was the worst.
"nice hotel nice hotel, surprised soft beds, confortable, hotel close tram flower market nice street shopping,  ","1. Nice hotel with surprisingly soft, comfortable beds, near the tram and flower market; great street shopping.",I thoroughly enjoyed my stay at the charming hotel.  The unexpectedly comfortable beds were a delightful surprise. Its convenient location near the tramline and flower market made exploring the vibrant shopping streets a breeze.,"2. Comfortable hotel, close to the flower market and tram; nice street shopping; beds were surprisingly soft.","I was pleasantly surprised by this charming hotel; the beds were wonderfully comfortable.  Its convenient location near the flower market and a lovely shopping street, easily accessible by tram, made it a perfect base for exploring."
"poor quality great location fabulous location right beach rooms need work, sheets threadbare no hot water water pressure noisy, room clean n't sit bedspread,  ","1. Great location, right on the beach, but rooms need work (threadbare sheets, no hot water, poor water pressure, noisy).  Room clean, but bedspread unusable.","This beachfront property boasts an exceptional location, directly on the beach.  However, the rooms require significant renovation.  Issues include worn linens, inconsistent hot water, low water pressure, and excessive noise. While clean, the overall condition of the rooms, particularly the bedding, is unsatisfactory.","2. Fabulous beachfront location; however, poor room quality:  noisy, weak water pressure, no hot water, threadbare sheets.  Clean room, but bedspread unusable.","This beachfront property boasts a fantastic location, but unfortunately, the rooms require significant updating.  While clean, the accommodations suffer from issues such as worn linens, inconsistent hot water, low water pressure, and excessive noise.  The bedspreads were in poor condition and unsuitable for use."
